# Performance Monitoring Events for Intel Xeon Processors Based on the Skylake Microarchitecture - V1.12
# 8/6/2018 10:15:59 PM
# Copyright (c) 2007 - 2017 Intel Corporation. All rights reserved.
EventCode	UMask	EventName	BriefDescription	Counter	CounterHTOff	SampleAfterValue	MSRIndex	MSRValue	TakenAlone	CounterMask	Invert	AnyThread	EdgeDetect	PEBS	Data_LA	L1_Hit_Indication	Errata	ELLC	Deprecated
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.ANY_RESPONSE	Counts demand data reads have any response type. 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x0000010001	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_HIT.NO_SNOOP_NEEDED	Counts demand data reads TBD TBD 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x01003C0001	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_HIT.HIT_OTHER_CORE_NO_FWD	Counts demand data reads TBD TBD 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x04003C0001	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_HIT.HITM_OTHER_CORE	Counts demand data reads TBD TBD 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x10003C0001	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_HIT.ANY_SNOOP	Counts demand data reads TBD TBD 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x3F803C0001	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_MISS.ANY_SNOOP	Counts demand data reads TBD TBD 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x3FBC000001	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_MISS.REMOTE_HIT_FORWARD	Counts demand data reads TBD 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x083FC00001	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_MISS.REMOTE_HITM	Counts demand data reads TBD 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x103FC00001	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_MISS.SNOOP_MISS_OR_NO_FWD	Counts demand data reads TBD 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x063FC00001	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_MISS_REMOTE_DRAM.SNOOP_MISS_OR_NO_FWD	Counts demand data reads TBD 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x063B800001	0	0	0	0	0	0	0	0	null	0	0
