# Performance Monitoring Events for Intel(R) Xeon(R) processor E5 v3 family based on the Haswell-E microarchitecture - V20
# 8/16/2018 4:23:38 AM EVENT_STATUS Legend: None = 0x00, Deprecated = 0x01, Template = 0x02
# Copyright (c) 2007 - 2017 Intel Corporation. All rights reserved.
EventCode	UMask	EventName	BriefDescription	Counter	CounterHTOff	SampleAfterValue	MSRIndex	MSRValue	TakenAlone	CounterMask	Invert	AnyThread	EdgeDetect	PEBS	Data_LA	L1_Hit_Indication	Errata	ELLC	EVENT_STATUS
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.LLC_HIT.HIT_OTHER_CORE_NO_FWD	Counts demand data reads hit in the L3 and the snoops to sibling cores hit in either E/S state and the line is not forwarded 	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x04003C0001	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.LLC_HIT.HITM_OTHER_CORE	Counts demand data reads hit in the L3 and the snoop to one of the sibling cores hits the line in M state and the line is forwarded 	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x10003C0001	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.LLC_MISS.ANY_RESPONSE	Counts demand data reads miss in the L3 	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x3FBFC00001	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.LLC_MISS.LOCAL_DRAM	Counts demand data reads miss the L3 and the data is returned from local dram 	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x0600400001	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_RFO.LLC_HIT.HIT_OTHER_CORE_NO_FWD	Counts all demand data writes (RFOs) hit in the L3 and the snoops to sibling cores hit in either E/S state and the line is not forwarded 	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x04003C0002	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_RFO.LLC_HIT.HITM_OTHER_CORE	Counts all demand data writes (RFOs) hit in the L3 and the snoop to one of the sibling cores hits the line in M state and the line is forwarded 	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x10003C0002	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_RFO.LLC_MISS.ANY_RESPONSE	Counts all demand data writes (RFOs) miss in the L3 	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x3FBFC00002	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_RFO.LLC_MISS.LOCAL_DRAM	Counts all demand data writes (RFOs) miss the L3 and the data is returned from local dram 	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x0600400002	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_RFO.LLC_MISS.REMOTE_HITM	Counts all demand data writes (RFOs) miss the L3 and the modified data is transferred from remote cache 	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x103FC00002	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_CODE_RD.LLC_HIT.HIT_OTHER_CORE_NO_FWD	Counts all demand code reads hit in the L3 and the snoops to sibling cores hit in either E/S state and the line is not forwarded 	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x04003C0004	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_CODE_RD.LLC_HIT.HITM_OTHER_CORE	Counts all demand code reads hit in the L3 and the snoop to one of the sibling cores hits the line in M state and the line is forwarded 	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x10003C0004	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_CODE_RD.LLC_MISS.ANY_RESPONSE	Counts all demand code reads miss in the L3 	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x3FBFC00004	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_CODE_RD.LLC_MISS.LOCAL_DRAM	Counts all demand code reads miss the L3 and the data is returned from local dram 	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x0600400004	0	0	0	0	0	0	0	0	null	0	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.PF_L2_DATA_RD.LLC_HIT.ANY_RESPONSE	Counts prefetch (that bring data to L2) data reads hit in the L3 	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x3F803C0010	0	0	0	0	0	0	0	0	null	0	0
