# Performance Monitoring Events for Intel Atom Processors Based on the GoldmontPlus Microarchitecture - V1.01
# 3/2/2018 3:19:18 PM
# Copyright (c) 2007 - 2017 Intel Corporation. All rights reserved.
EventCode	UMask	EventName	BriefDescription	Counter	PEBScounters	SampleAfterValue	MSRIndex	MSRValue	CollectPEBSRecord	CounterMask	Invert	AnyThread	EdgeDetect	PEBS	Data_LA	Errata	PDIR_COUNTER
0xB7	0x01,0x02	OFFCORE_RESPONSE.DEMAND_DATA_RD.ANY_RESPONSE	Counts demand cacheable data reads of full cache lines have any transaction responses from the uncore subsystem.	0,1,2,3	0,1,2,3	100007	0x1a6, 0x1a7	0x0000010001	1	0	0	0	0	0	0	0	na
0xB7	0x01,0x02	OFFCORE_RESPONSE.DEMAND_DATA_RD.L2_HIT	Counts demand cacheable data reads of full cache lines hit the L2 cache.	0,1,2,3	0,1,2,3	100007	0x1a6, 0x1a7	0x0000040001	1	0	0	0	0	0	0	0	na
0xB7	0x01,0x02	OFFCORE_RESPONSE.DEMAND_DATA_RD.L2_MISS.SNOOP_MISS_OR_NO_SNOOP_NEEDED	Counts demand cacheable data reads of full cache lines true miss for the L2 cache with a snoop miss in the other processor module. 	0,1,2,3	0,1,2,3	100007	0x1a6, 0x1a7	0x0200000001	1	0	0	0	0	0	0	0	na
0xB7	0x01,0x02	OFFCORE_RESPONSE.DEMAND_DATA_RD.L2_MISS.HITM_OTHER_CORE	Counts demand cacheable data reads of full cache lines miss the L2 cache with a snoop hit in the other processor module, data forwarding is required.	0,1,2,3	0,1,2,3	100007	0x1a6, 0x1a7	0x1000000001	1	0	0	0	0	0	0	0	na
0xB7	0x01,0x02	OFFCORE_RESPONSE.DEMAND_DATA_RD.OUTSTANDING	Counts demand cacheable data reads of full cache lines outstanding, per cycle, from the time of the L2 miss to when any response is received.	0,1,2,3	0,1,2,3	100007	0x1a6	0x4000000001	1	0	0	0	0	0	0	0	na
0xB7	0x01,0x02	OFFCORE_RESPONSE.DEMAND_RFO.ANY_RESPONSE	Counts demand reads for ownership (RFO) requests generated by a write to full data cache line have any transaction responses from the uncore subsystem.	0,1,2,3	0,1,2,3	100007	0x1a6, 0x1a7	0x0000010002	1	0	0	0	0	0	0	0	na
0xB7	0x01,0x02	OFFCORE_RESPONSE.DEMAND_RFO.L2_HIT	Counts demand reads for ownership (RFO) requests generated by a write to full data cache line hit the L2 cache.	0,1,2,3	0,1,2,3	100007	0x1a6, 0x1a7	0x0000040002	1	0	0	0	0	0	0	0	na
0xB7	0x01,0x02	OFFCORE_RESPONSE.DEMAND_RFO.L2_MISS.SNOOP_MISS_OR_NO_SNOOP_NEEDED	Counts demand reads for ownership (RFO) requests generated by a write to full data cache line true miss for the L2 cache with a snoop miss in the other processor module. 	0,1,2,3	0,1,2,3	100007	0x1a6, 0x1a7	0x0200000002	1	0	0	0	0	0	0	0	na
0xB7	0x01,0x02	OFFCORE_RESPONSE.DEMAND_RFO.L2_MISS.HITM_OTHER_CORE	Counts demand reads for ownership (RFO) requests generated by a write to full data cache line miss the L2 cache with a snoop hit in the other processor module, data forwarding is required.	0,1,2,3	0,1,2,3	100007	0x1a6, 0x1a7	0x1000000002	1	0	0	0	0	0	0	0	na
0xB7	0x01,0x02	OFFCORE_RESPONSE.DEMAND_RFO.OUTSTANDING	Counts demand reads for ownership (RFO) requests generated by a write to full data cache line outstanding, per cycle, from the time of the L2 miss to when any response is received.	0,1,2,3	0,1,2,3	100007	0x1a6	0x4000000002	1	0	0	0	0	0	0	0	na
0xB7	0x01,0x02	OFFCORE_RESPONSE.DEMAND_CODE_RD.ANY_RESPONSE	Counts demand instruction cacheline and I-side prefetch requests that miss the instruction cache have any transaction responses from the uncore subsystem.	0,1,2,3	0,1,2,3	100007	0x1a6, 0x1a7	0x0000010004	1	0	0	0	0	0	0	0	na
